user,text,date,count
lossyrob,Hey everyone. Welcome to the GeoTrellis room!,3/31/15,1
non,hello!,3/31/15,1
non,(and goodbye -- it is quitting time now),3/31/15,1
lossyrob,adios!,3/31/15,1
lossyrob,@non btw did you get my email? I heard your coming to philly...would be great if you stopped in.,3/31/15,1
echeipesh,Not all that gitters is gold,3/31/15,1
lossyrob,hahaha,3/31/15,1
lossyrob,@echeipesh was there anything in that Catalog PR that we should keep?,4/1/15,1
echeipesh,"Looking over it again, but almost everything there had to do with refactor plan that is out the window now. So very unlikely.",4/1/15,1
lossyrob,What was that refactor plan about again?,4/1/15,1
lossyrob,"Also, I can_„Žt name things. Catalog is really just a key value store. Key is the layer ID. But also loading tiles is just a key value store, where the key is the TileID. but that one is read only. So what should the abstractions be named?",4/1/15,1
lossyrob,Reader/Writer traits.,4/1/15,1
lossyrob,Store/ReadOnlyStore ick,4/1/15,1
echeipesh,"That Catalog should not have params, only layer name is traded for RDD. Plus it was based on the type-class design that we_„Žre throwing out.",4/1/15,1
lossyrob,right,4/1/15,1
lossyrob,yeah that makes sense to just throw it out then. It was hanging around for a while and I wasn_„Žt sure if it had value,4/1/15,1
echeipesh,"We can still reference it for catalog work, but there is no way it was going to get merged now.",4/1/15,1
echeipesh,"Ok, I_„Žm going to start working on S3 catalog and sketch it out.",4/1/15,1
lossyrob,nice,4/1/15,1
lossyrob,"Basically a function that calls load(layerId: LayerId): RasterRDD[K] and save(layerId: LayerId, rdd: RasterRDD[K]): Unit for some K",4/1/15,1
echeipesh,yup,4/1/15,1
lossyrob,and perhaps a load(key: K): Tile for some TileLoader that_„Žs based on the LayerId,4/1/15,1
lossyrob,(which still not sure if we will support in HDFS),4/1/15,1
lossyrob,do you think S3 would be fine for supporting that? Probably yeah?,4/1/15,1
echeipesh,Probably,4/1/15,1
lossyrob,the other capability is to load off of a filter set,4/1/15,1
echeipesh,"yes, that_„Žs the tricky bit",4/1/15,1
lossyrob,"or like, you can create just a straight up load(key: K): V function based on injecting filters or whatever into the class that_„Žs providing that function",4/1/15,1
lossyrob,still trying to figure out if that looks ok in practice,4/1/15,1
echeipesh,"yes, I_„Žm just going to make some functions and pass things around as arguments to make it super clear for now. Will plug it into whatever makes sense.",4/1/15,1
lossyrob,```,4/1/15,1
lossyrob,woot,4/1/15,1
lossyrob,"```woot```",4/1/15,1
echeipesh,wtc ?,4/1/15,1
lossyrob,Trying to see how this markdown thing works,4/1/15,1
lossyrob,"```This is code and such```",4/1/15,1
echeipesh,```this is *code* ```,4/1/15,1
notthatbreezy,It works like slack and github,4/1/15,1
lossyrob,![sfcurve-space-diagram](https://cloud.githubusercontent.com/assets/2320142/6543539/449db6e2-c4ed-11e4-865a-584e056b5469.png),4/1/15,1
lossyrob,nice,4/1/15,1
lossyrob,can_„Žt do that on freenode,4/1/15,1
echeipesh,This will also tell you who read the comments,4/1/15,1
lossyrob,oh I didn_„Žt realize that,4/1/15,1
lossyrob,nice. so now I can tell who_„Žs reading my nonsense ,4/1/15,1
notthatbreezy,that's kind of creepy,4/1/15,1
lossyrob,yeah now I can_„Žt pretend that I haven_„Žt read a thing,4/1/15,1
echeipesh,Merging https://github.com/geotrellis/geotrellis/pull/1042 in since its +1,4/1/15,1
lossyrob,surely,4/1/15,1
notthatbreezy,I'm trying to run tests on the spark subproject before I start cleaning up the op stuff there -- but tests are failing with an error: `java.lang.UnsatisfiedLinkError: no gdaljni in java.library.path`,4/1/15,1
lossyrob,that_„Žs fun,4/1/15,1
notthatbreezy,is there a dependency I missed in installing?,4/1/15,1
lossyrob,it would be GDAL,4/1/15,1
lossyrob,but I thought we fixed it so if GDAL wasn_„Žt installed it wouldn_„Žt fail?,4/1/15,1
echeipesh,I don_„Žt recall that.,4/1/15,1
lossyrob,e.g. travis has no gdal,4/1/15,1
lossyrob,oh but it also has no spark. and doesn_„Žt run it ,4/1/15,1
echeipesh,"Yo, Rob, get back in the office",4/1/15,1
echeipesh,Monsuer wants to talk to us,4/1/15,1
lossyrob,shit,4/1/15,1
notthatbreezy,"cool - I'll try that, thanks",4/1/15,1
lossyrob,"@notthatbreezy there should be a way to  check if it_„Žs installed. I either tried to do that and succeeded and for some reason that test isn_„Žt doing it, or I failed, lemme check",4/1/15,1
lossyrob,there should be a way to catch that unsatisfied link error and report that gdal_„Žs not there,4/1/15,1
notthatbreezy,"ok, I can look into it too -- I install libgdal1-dev, but that doesn't seem to have fixed it either -- I can mess around with it now that I understand what's going on, this might be ubuntu specific",4/1/15,1
lossyrob,not sure the dev package installs java bindings,4/1/15,1
lossyrob,hector_„Žs gdal java ansible role installs it,4/1/15,1
notthatbreezy,"got it, I'll look at what that's doing",4/1/15,1
lossyrob,"I wonder if there_„Žs a call we can make on that Gdal object, or some init all, that we can catch the UnsatisfiedLinkError from",4/1/15,1
lossyrob,that would just check if it_„Žs working,4/1/15,1
lossyrob,"and if not, we can just return false to some gdalBindingsInstalled call",4/1/15,1
lossyrob,and skip tests based on if they_„Žre not there,4/1/15,1
notthatbreezy,"yeah, so that it would work similar to how the `ifCanRunSpark` check works?",4/1/15,1
echeipesh,"yeap, something like that. You would just take a function and check the precondition before you eval.",4/1/15,1
lossyrob,@notthatbreezy ,4/1/15,1
lossyrob,"```def isGdalInstalled = try { gdal.AllRegister() ; true } catch { case e: java.lang.UnsatisfiedLinkError => false }```",4/1/15,1
notthatbreezy,"cool - also, I installed the libgdal-java (following from the playbook), but that didn't fix the problem",4/1/15,1
notthatbreezy,"I also used the gdal-netcdf playbook since that was the test that was throwing the error, but that didn't fix things either",4/1/15,1
lossyrob,are the library binaries installed in /usr/local/lib?,4/1/15,1
lossyrob,that_„Žs what is put into the path to search in the build file,4/1/15,1
lossyrob,https://github.com/geotrellis/geotrellis/blob/master/project/Build.scala#L413,4/1/15,1
lossyrob,java.library.path is what it would be looking to to load the linked binary libs,4/1/15,1
lossyrob,is something called `gdaljni` in there?,4/1/15,1
notthatbreezy,ah no,4/1/15,1
notthatbreezy,I'll try and figure out where that is,4/1/15,1
notthatbreezy,it got put in /usr/lib/jni,4/1/15,1
notthatbreezy,actually - the only thing I could find is libgdaljni.so,4/1/15,1
lossyrob,that might just be it,4/1/15,1
lossyrob,i wonder why it got put there?,4/1/15,1
lossyrob,you could try to modify the java.library.path in the build file,4/1/15,1
notthatbreezy,"yeah, I'm in the process of testing that",4/1/15,1
lossyrob,"perhaps that should be pushed out to an optional environment var, like the thigns in Version.scala",4/1/15,1
lossyrob,nice,4/1/15,1
echeipesh,that_„Žs not a bad idea,4/1/15,1
notthatbreezy,woohoo - that worked,4/1/15,1
notthatbreezy,"so yeah, seems like it's necessary to make that configurable through an environment var",4/1/15,1
lossyrob,nice,4/1/15,1
lossyrob,"also if you_„Žre gonna do a PR with that, would be good to include the isGdalInstalled stuff too",4/1/15,1
notthatbreezy,"yeah, I'll work on that now -- though I do have some questions about the ops stuff that might be quicker to discuss in person when you have a second",4/1/15,1
lossyrob,yeah_„_I_„Žm caught in some coding now,4/1/15,1
lossyrob,"would be quicker, but want to do it through here for posterity_„Žs sake?",4/1/15,1
lossyrob,slash I can still focus on code,4/1/15,1
notthatbreezy,ok sure - yeah good point,4/1/15,1
notthatbreezy,"Let me work on this gdal stuff real quick first, then when I get to actually making changes and look at that stuff again I'll pop back on here",4/1/15,1
lossyrob,ok cool,4/1/15,1
notthatbreezy,"is there a spot where environment variables are being documented in the project? -- thought about putting it in gdal/README.md, but then it'd be missed if someone was just interested in spark so the top-level README might be the best",4/1/15,1
echeipesh,I think it might be worth while breaking it out into Defaults.scala under build ?,4/1/15,1
lossyrob,makes sense to break it out_„_though not sure what that would look like,4/1/15,1
lossyrob,need to default versions and also other properties,4/1/15,1
echeipesh,"Just make it project/Defaults.scala, link to it from README",4/1/15,1
notthatbreezy,ah ok - for now this would be the only thing in there I think,4/1/15,1
echeipesh,"No, the default versions for spark and hadoop would be there too I would think.",4/1/15,1
notthatbreezy,"oh, did you mean Version.scala then?",4/1/15,1
lossyrob,if you look at Versions.scala you_„Žll see the _„ñeither_„ method for either using an env variable or a default,4/1/15,1
lossyrob,but it doesn_„Žt belong in Version.scala if it_„Žs not only versions,4/1/15,1
lossyrob,which we_„Žd be adding a thing that isn_„Žt a Version,4/1/15,1
lossyrob,So it_„Žs almost like a Config object that takes either from the environment or some default,4/1/15,1
echeipesh,"yeap, so move that out to Defaults.scala, and from Version you can use _„ñDefault.sparkVersion, Default.hadoopVersion""",4/1/15,1
notthatbreezy,"yeah, so right now I just have that in Build.scala `val javaGdalDir = scala.util.Properties.envOrElse(""JAVA_GDAL_DIR"", ""/usr/local/lib"")`",4/1/15,1
notthatbreezy,@echeipesh that seems reasonable,4/1/15,1
lossyrob,but shoudl we have Default,4/1/15,1
echeipesh,Is it Default or Environmental ?,4/1/15,1
lossyrob,or have the either() or (envOrElse) in there too,4/1/15,1
notthatbreezy,"I think keeping ""/usr/local/lib"" as a default makes sense, else existing use would break",4/1/15,1
lossyrob,yeah and that_„Žs where it usually installs to_„_.I_„Žm suprised yours doesn't,4/1/15,1
lossyrob,this is on ubuntu?,4/1/15,1
notthatbreezy,@echeipesh it's not environmental :smile: ,4/1/15,1
notthatbreezy,"yeah, this is on ubuntu",4/1/15,1
lossyrob,hahaha,4/1/15,1
lossyrob,"well actually, the _„ñal_„ might make sense there",4/1/15,1
lossyrob,or maybe I_„Žve just caught the _„ñEnvironmental Variable_„ bug,4/1/15,1
echeipesh,"Added ```\w+(\.\w+){2,}``` as keyword to highlight in white, and it_„Žs dope",4/1/15,1
echeipesh,to iTerm2,4/1/15,1
notthatbreezy,ok - I think I have some questions now about the spark op cleanup task -- the only really global method implemented is vertical flip; viewshed is half-implemented -- the plan was to nix both of these right?,4/1/15,1
moradology,"me too, me too",4/1/15,1
moradology,I'm looking through geotrellis.raster and i'm having a hard time remembering why the operations in histogram aren't in op/global,4/1/15,1
lossyrob,@moradology what operations in histogram?,4/1/15,1
lossyrob,"@notthatbreezy well, viewshed seems really hard to parallelize, so probably won_„Žt get that out before the release",4/1/15,1
lossyrob,but verticle flip_„_that seems doable yeah?,4/1/15,1
lossyrob,some clever think about key switching or something,4/1/15,1
notthatbreezy,"yeah, that's what it looks like its doing now",4/1/15,1
